Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0.24 mg/ml  Code: tmp
Parent(s): /Users/ellen/Documents/Statherin/SAXS/Grenoble_sep-17/Analysis/Series3/Other/avrg_001.dat
  2.321590e+00   5.091700e-01   2.735410e-01
  2.326290e+00   3.693190e-01   2.764110e-01
  2.330990e+00   8.337420e-02   2.747430e-01
  2.335680e+00   5.697290e-01   2.735080e-01
  2.340380e+00   3.839340e-01   2.696210e-01
  2.345080e+00   1.552190e-01   2.746690e-01
  2.349780e+00   1.922380e-01   2.732080e-01
  2.354470e+00   5.277360e-01   2.769810e-01
  2.359170e+00   2.316000e-01   2.668180e-01
  2.363870e+00   4.776840e-01   2.717590e-01
  2.368570e+00  -9.356620e-02   2.734460e-01
  2.373260e+00   5.520360e-01   2.721320e-01
  2.377960e+00   4.583400e-01   2.680800e-01
  2.382660e+00   6.013300e-01   2.702920e-01
  2.387360e+00   1.350540e-02   2.707600e-01
  2.392060e+00   4.143530e-01   2.716060e-01
  2.396750e+00   2.721850e-01   2.692460e-01
  2.401450e+00   8.732300e-03   2.683990e-01
  2.406150e+00   3.752360e-01   2.687740e-01
  2.410850e+00   3.676210e-01   2.704560e-01
  2.415540e+00   5.547990e-01   2.675710e-01
  2.420240e+00   4.996150e-01   2.685120e-01
  2.424940e+00   1.856730e-01   2.686710e-01
  2.429640e+00   8.257430e-01   2.679450e-01
  2.434330e+00   1.062680e-01   2.668210e-01
  2.439030e+00   4.872550e-01   2.668150e-01
  2.443730e+00   4.106470e-01   2.672400e-01
  2.448430e+00   1.168710e-01   2.673300e-01
  2.453130e+00   2.868180e-01   2.687480e-01
  2.457820e+00   4.637500e-01   2.628080e-01
  2.462520e+00   3.245190e-01   2.648450e-01
  2.467220e+00   2.674300e-01   2.685040e-01
  2.471920e+00   5.301660e-01   2.665950e-01
  2.476610e+00   3.811100e-01   2.645590e-01
  2.481310e+00   3.351840e-01   2.637670e-01
  2.486010e+00   6.282080e-01   2.642880e-01
  2.490710e+00   7.975080e-01   2.654420e-01
  2.495410e+00   2.568710e-01   2.622230e-01
